-100,-100,-63,-67,-50,1
-63,-100,-66,-66,-52,1
-60,-84,-67,-66,-52,1
-59,-100,-64,-66,-51,1
-68,-85,-62,-60,-44,1
-59,-78,-61,-62,-53,1
-55,-100,-58,-57,-50,1
-70,-81,-65,-58,-56,1
-64,-79,-66,-73,-49,1
-67,-81,-62,-69,-43,1
-65,-100,-57,-66,-45,1
-58,-100,-59,-68,-41,1
-66,-100,-69,-67,-40,1
-68,-83,-74,-67,-40,1
-65,-84,-64,-63,-44,1
-60,-79,-62,-62,-43,1
-63,-87,-59,-64,-43,1
-66,-100,-65,-62,-51,1
-58,-100,-51,-66,-41,1
-62,-82,-73,-69,-48,1
-57,-79,-62,-68,-59,1
-62,-100,-66,-70,-56,1
-57,-81,-63,-60,-59,1
-50,-100,-58,-60,-41,1
-57,-100,-54,-62,-50,1
-58,-77,-58,-68,-46,1
-63,-80,-50,-61,-51,1
-66,-76,-57,-72,-48,1
-60,-81,-65,-68,-43,1
-56,-74,-57,-68,-49,1
-59,-85,-51,-63,-60,1
-55,-79,-54,-67,-41,1
-53,-77,-59,-62,-45,1
-55,-77,-63,-62,-44,1
-61,-75,-63,-71,-49,1
-63,-100,-62,-69,-46,1
-56,-76,-65,-69,-46,1
-60,-81,-58,-71,-43,1
-69,-76,-72,-70,-41,1
-68,-79,-65,-70,-36,1
-74,-81,-59,-68,-40,1
-55,-78,-55,-64,-43,1
-55,-100,-54,-55,-34,1
-54,-83,-50,-58,-27,1
-53,-76,-59,-63,-26,1
-54,-78,-64,-65,-28,1
-56,-77,-67,-61,-29,1
-53,-80,-57,-59,-29,1
-53,-78,-66,-66,-30,1
-53,-100,-62,-68,-23,1
-55,-100,-57,-69,-22,1
-52,-100,-58,-64,-23,1
-62,-85,-59,-62,-37,1
-55,-83,-53,-57,-48,1
-56,-81,-54,-59,-52,1
-59,-100,-53,-55,-59,1
-64,-74,-57,-64,-55,1
-66,-100,-65,-58,-45,1
-62,-83,-62,-58,-44,1
-56,-83,-49,-64,-56,1
-56,-74,-55,-67,-46,1
-56,-85,-64,-65,-54,1
-56,-78,-59,-64,-55,1
-54,-77,-58,-67,-57,1
-55,-73,-62,-63,-55,1
-57,-72,-69,-70,-45,1
-73,-81,-67,-58,-45,1
-65,-80,-61,-60,-55,1
-65,-84,-64,-65,-38,1
