created_at,entry_id,field2
2020-08-10 14:38:52 UTC,37621,47
2020-08-10 14:39:19 UTC,37622,39
2020-08-10 14:39:45 UTC,37623,47
2020-08-10 14:40:11 UTC,37624,57
2020-08-10 14:40:37 UTC,37625,61
2020-08-10 14:41:03 UTC,37626,51
2020-08-10 14:41:29 UTC,37627,52
2020-08-10 14:41:55 UTC,37628,55
2020-08-10 14:42:21 UTC,37629,56
2020-08-10 14:42:47 UTC,37630,56
2020-08-10 14:43:12 UTC,37631,36
2020-08-10 14:43:38 UTC,37632,74
2020-08-10 14:44:04 UTC,37633,36
2020-08-10 14:44:31 UTC,37634,66
2020-08-10 14:44:47 UTC,37635,73
2020-08-10 14:45:13 UTC,37636,47
2020-08-10 14:45:38 UTC,37637,50
2020-08-10 14:46:03 UTC,37638,43
2020-08-10 14:46:29 UTC,37639,68
2020-08-10 14:46:54 UTC,37640,47
2020-08-10 14:47:19 UTC,37641,33
2020-08-10 14:47:45 UTC,37642,58
2020-08-10 14:48:10 UTC,37643,86
2020-08-10 14:48:36 UTC,37644,60
2020-08-10 14:49:01 UTC,37645,77
2020-08-10 14:49:27 UTC,37646,72
2020-08-10 14:49:53 UTC,37647,52
2020-08-10 14:50:18 UTC,37648,56
2020-08-10 14:50:45 UTC,37649,67
2020-08-10 14:51:10 UTC,37650,54
2020-08-10 14:51:35 UTC,37651,70
2020-08-10 14:52:01 UTC,37652,65
2020-08-10 14:52:27 UTC,37653,68
2020-08-10 14:52:52 UTC,37654,60
2020-08-10 14:53:19 UTC,37655,79
2020-08-10 14:53:46 UTC,37656,73
2020-08-10 14:54:11 UTC,37657,60
2020-08-10 14:54:37 UTC,37658,64
2020-08-10 14:55:03 UTC,37659,84
2020-08-10 14:55:30 UTC,37660,59
2020-08-10 14:55:55 UTC,37661,32
2020-08-10 14:56:20 UTC,37662,49
2020-08-10 14:56:47 UTC,37663,61
2020-08-10 14:57:12 UTC,37664,35
2020-08-10 14:57:38 UTC,37665,57
2020-08-10 14:58:04 UTC,37666,33
2020-08-10 14:58:29 UTC,37667,22
2020-08-10 14:58:54 UTC,37668,23
2020-08-10 14:59:22 UTC,37669,41
2020-08-10 14:59:48 UTC,37670,36
2020-08-10 15:00:15 UTC,37671,17
2020-08-10 15:00:41 UTC,37672,21
2020-08-10 15:01:07 UTC,37673,16
2020-08-10 15:01:33 UTC,37674,13
2020-08-10 15:32:18 UTC,37675,61
2020-08-15 05:23:18 UTC,37676,3
2020-09-01 00:56:45 UTC,37677,5
2020-09-01 00:57:13 UTC,37678,51
2020-09-01 00:59:23 UTC,37679,15
2020-09-01 00:59:49 UTC,37680,21
2020-09-01 01:00:14 UTC,37681,18
2020-09-01 01:00:40 UTC,37682,15
2020-09-01 01:01:07 UTC,37683,21
2020-09-01 01:01:33 UTC,37684,16
2020-09-01 01:01:59 UTC,37685,24
2020-09-01 01:02:16 UTC,37686,17
2020-09-01 01:02:41 UTC,37687,19
2020-09-01 01:03:07 UTC,37688,18
2020-09-01 01:03:33 UTC,37689,20
2020-09-01 01:03:58 UTC,37690,15
2020-09-01 01:04:24 UTC,37691,22
2020-09-01 01:04:49 UTC,37692,15
2020-09-01 01:05:14 UTC,37693,19
2020-09-01 01:05:39 UTC,37694,17
2020-09-01 01:06:05 UTC,37695,16
2020-09-01 01:06:31 UTC,37696,16
2020-09-01 01:06:57 UTC,37697,18
2020-09-01 01:07:23 UTC,37698,13
2020-09-01 01:07:49 UTC,37699,20
2020-09-01 01:08:15 UTC,37700,17
2020-09-01 01:08:41 UTC,37701,18
2020-09-01 01:09:07 UTC,37702,15
2020-09-01 01:09:34 UTC,37703,13
2020-09-01 01:09:59 UTC,37704,18
2020-09-01 01:10:26 UTC,37705,15
2020-09-01 01:10:52 UTC,37706,22
2020-09-01 01:11:17 UTC,37707,19
2020-09-01 01:11:42 UTC,37708,13
2020-09-01 01:12:08 UTC,37709,17
2020-09-01 01:12:34 UTC,37710,15
2020-09-01 01:13:00 UTC,37711,15
2020-09-01 01:13:25 UTC,37712,16
2020-09-01 01:13:51 UTC,37713,18
2020-09-01 01:14:16 UTC,37714,17
2020-09-01 01:14:37 UTC,37715,5
2020-09-01 01:15:01 UTC,37716,12
2020-09-01 01:15:27 UTC,37717,12
2020-09-01 01:15:52 UTC,37718,14
2020-09-01 01:16:16 UTC,37719,20
2020-09-01 01:16:42 UTC,37720,13
